N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,112.531,3522.3,15.9971,346.798,26.6177,33.5774,145.342
2,119.98899999999999,3542.2,21.6685,371.645,30.0495,67.0599,187.329
4,133.265,3645.57,17.695,573.42,27.3007,129.556,219.354
8,161.56,3764.37,24.5203,683.7260000000001,34.3647,258.885,246.93
16,213.162,4182.67,37.8234,949.0989999999999,51.613,540.634,332.48900000000003
32,322.634,4699.88,61.8437,1405.76,80.6931,1069.18,520.44
64,537.26,5554.86,108.661,2336.7,135.82299999999998,2129.21,866.96
128,975.9989999999999,7686.28,202.403,4343.16,249.334,4382.36,1605.34
256,1844.82,12065.3,389.884,8149.84,483.879,9295.93,3002.08
512,3558.54,20565.3,760.6610000000001,16293.3,966.51,18945.1,6273.78
1024,7079.97,37844.9,1503.96,32532.2,1954.7,39132.9,13356.3
2048,13907.5,71788.5,2987.11,66397.3,4035.51,83152.2,25636.9
4096,27801.3,142795.0,5979.82,133009.0,8361.41,171298.0,53111.9
8192,57145.6,282019.0,11933.1,268594.0,16855.8,348212.0,106876.0
16384,115595.0,560707.0,23833.7,524975.0,36372.1,743876.0,214787.0
