N,adept,adolc,baseline,cppad,fastad,sacado,stan
2,911.747,3564.91,76.6032,316.856,236.107,129.121,524.8
2,920.663,3548.69,75.972,303.144,234.489,129.07399999999998,523.476
2,907.444,3543.69,75.9856,316.39799999999997,234.81900000000002,129.716,522.859
8,979.444,4071.49,86.4702,644.614,260.128,456.251,640.995
8,979.7710000000001,4069.4,86.1619,658.321,256.27,452.23,641.23
32,1591.52,6529.0,92.189,2107.65,294.205,2794.96,850.0089999999999
50,2084.59,8600.04,125.6,3654.94,396.89300000000003,5955.55,1167.69
128,4783.31,30456.6,279.84,12084.1,819.828,35419.8,2037.1
242,10115.6,73149.9,473.064,30355.0,1457.38,96628.6,3675.24
512,27223.4,171792.0,472.329,93451.0,1607.33,266706.0,6416.92
968,64335.3,424632.0,1054.55,242839.0,3716.78,739401.0,12722.1
2048,175574.0,1169040.0,1980.23,735508.0,6817.64,4404370.0,25790.3
4050,477012.0,4158430.0,5169.44,2016130.0,17246.2,12512700.0,56916.8
8192,1590710.0,44485500.0,12912.6,6173450.0,42928.4,35513500.0,127563.0
16200,4656900.0,123367000.0,35937.4,18545500.0,117604.0,98758300.0,282948.0
32768,16162700.0,347626000.0,89532.7,54587600.0,290305.0,280264000.0,615721.0
65522,41071800.0,931057000.0,253287.0,155668000.0,807589.0,1172020000.0,1590660.0
