N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,22.7236,3422.1,1.06606,293.21,8.89369,9.16179,65.7827
2,29.2201,3472.79,1.26329,326.077,11.3118,27.9237,75.6324
4,43.9111,3524.05,1.86378,469.98400000000004,14.0497,64.7222,94.0111
8,73.9915,3666.84,2.75025,568.826,17.345,139.405,117.325
16,157.04399999999998,4004.07,3.18372,720.113,26.3632,280.887,203.014
32,279.23900000000003,4378.01,4.01497,939.54,46.0548,536.239,361.88
64,578.2280000000001,4985.27,5.05981,1470.47,98.9188,1125.41,681.6439999999999
128,1011.43,6504.69,9.09737,2515.77,180.78099999999998,2562.24,1319.83
256,2076.93,9674.62,21.1416,5393.14,364.56699999999995,5299.39,2553.54
512,4021.12,15971.5,47.593999999999994,9403.03,714.538,11639.1,5460.05
1024,8427.25,28270.8,120.803,18413.6,1425.83,24678.7,11546.9
2048,17069.7,53585.3,252.74099999999999,38820.6,2954.48,50467.1,23482.4
4096,46441.5,113786.0,526.952,84725.0,6029.17,123318.0,55441.7
8192,67145.0,209558.0,1074.12,171994.0,12076.2,227822.0,111428.0
16384,124024.0,403399.0,2156.51,322478.0,25780.7,466279.0,210792.0
