N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,24.7346,3461.48,0.7333270000000001,287.627,6.10267,13.1203,73.9879
2,31.2835,3460.3,1.0441200000000002,316.973,7.822139999999999,22.3133,83.9498
4,44.5134,3525.72,1.9195200000000001,471.852,14.0062,41.6468,98.8374
8,71.1691,3633.55,2.92288,565.472,18.8267,74.3195,119.531
16,128.39600000000002,3930.23,5.21021,706.613,37.3332,149.914,202.11
32,243.16099999999997,4219.97,13.5428,921.799,83.1918,292.96299999999997,358.087
64,491.311,4618.88,36.918,1454.04,160.19299999999998,662.638,618.567
128,951.079,5778.28,85.9429,2508.91,318.91,1209.35,1221.33
256,1951.76,8134.4,220.477,4690.32,633.984,2236.66,2370.29
512,3802.46,12820.0,492.855,9442.2,1266.43,5813.56,4970.79
1024,7937.83,22361.3,1035.47,17876.3,2588.0,12485.9,10467.0
2048,16198.6,41854.0,2120.28,38503.9,5166.1,24868.1,21256.9
4096,44132.8,86739.6,10087.9,84209.8,14996.6,59910.2,51081.9
8192,65076.7,165292.0,13498.3,155244.0,28641.9,121221.0,102832.0
16384,117774.0,323229.0,22953.2,304728.0,48267.6,235281.0,195509.0
