N,adept,adolc,baseline,cppad,fastad,sacado,stan
12,40969.9,301206.0,1321.58,150119.0,3412.42,524485.0,111550
22,69418.3,520645.0,2164.97,263662.0,4906.68,1123210.0,126062
32,101189.0,742114.0,3341.21,376374.0,8022.42,2059620.0,142213
42,133388.0,979398.0,5178.45,541119.0,11544.6,3030430.0,158973
52,162566.0,1293070.0,6775.9,636132.0,14848.5,3937340.0,172580
62,195195.0,1425960.0,8069.92,731681.0,16969.2,4938070.0,194725
72,207135.0,1690000.0,9858.32,865893.0,20433.4,5748380.0,210235
82,262737.0,2237810.0,11124.5,958041.0,22434.9,6615890.0,227496
92,293485.0,2370900.0,11827.4,1107760.0,25010.6,7455220.0,246057
102,312379.0,2668830.0,13086.5,1236180.0,26698.3,8345600.0,261801
112,345181.0,2912370.0,15361.1,1493980.0,30487.6,9273370.0,277578
122,362110.0,3197990.0,16049.6,1651720.0,33447.6,10042000.0,343390
132,393481.0,4395680.0,16901.2,1758280.0,37189.9,10943900.0,333944
142,423661.0,4711010.0,19537.5,1816530.0,38941.9,11749000.0,356200
152,448353.0,5039070.0,20216.3,2034220.0,41457.3,12751800.0,374397
