N,adept,adolc,baseline,cppad,fastad,sacado,stan
7,1297.12,4923.43,86.7425,956.747,191.576,961.702,609.16
7,1327.94,4917.08,84.1158,962.0260000000001,189.965,960.5010000000001,605.297
7,1300.16,4888.5,88.3281,939.7710000000001,189.738,957.4789999999999,606.146
11,1368.11,5647.88,118.945,1370.51,221.058,1495.82,779.681
19,1632.14,6358.31,188.548,1937.4,296.893,2630.23,1047.05
35,2105.2,7888.31,331.07599999999996,3277.62,510.79400000000004,5339.27,1556.42
67,2920.95,10995.6,610.516,5759.87,891.585,10665.4,2673.42
131,4716.78,17625.5,1256.21,11075.8,1700.08,21368.2,4881.38
259,8205.3,31561.2,2456.3,21816.3,3250.58,44207.1,9723.7
515,15454.6,57711.4,5378.51,45726.2,6480.09,97760.6,19321.4
1027,30812.4,114341.0,10683.6,88641.4,12745.5,197638.0,39981.8
2051,60955.5,220750.0,20574.8,178740.0,25956.7,413606.0,81719.7
4099,127452.0,438478.0,40606.1,358355.0,54623.5,965832.0,171140.0
8195,253712.0,875966.0,83083.4,684036.0,112880.0,3046740.0,349622.0
16387,511852.0,2237560.0,175044.0,1482040.0,217460.0,6725010.0,704252.0
