N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,22.6169,3437.5,1.19868,292.67,6.78428,9.5055,73.3022
2,22.6972,3451.85,2.21469,322.876,8.501539999999999,28.855999999999998,76.4215
4,28.2259,3500.26,1.59289,457.055,7.98193,66.2184,83.0338
8,42.6446,3624.33,2.22818,550.49,7.4282,136.366,88.4902
16,65.1779,3957.08,2.6609,654.001,8.75596,270.464,133.369
32,121.8,4287.97,3.10735,835.585,13.1889,566.901,216.735
64,253.303,4836.73,4.43334,1249.19,18.9725,1123.0,367.68300000000005
128,478.07199999999995,6301.86,8.107439999999999,2126.55,34.763000000000005,2264.87,700.595
256,942.315,9262.53,20.2004,4117.03,79.3033,5230.07,1387.54
512,1888.55,15004.3,45.1731,7979.65,154.52100000000002,11272.9,2932.41
1024,3836.46,26894.5,115.75299999999999,16097.3,306.017,23942.6,6914.1
2048,7714.25,50232.7,251.38,30810.8,605.75,50033.8,12704.3
4096,15528.8,98421.8,523.69,69565.9,1251.53,104293.0,27267.7
8192,32345.4,192231.0,1067.07,131128.0,2802.58,211310.0,53754.0
16384,66847.8,380672.0,2150.64,281556.0,5672.24,427003.0,108552.0
