N,adept,adolc,baseline,cppad,fastad,sacado,stan
1,24.1552,3472.35,2.13307,293.10900000000004,5.37924,13.2021,73.6416
2,30.5756,3478.4,1.8830900000000002,313.553,6.1283,22.1519,82.6021
4,44.7607,3516.38,2.39128,459.98900000000003,8.65983,41.9908,97.7286
8,72.3124,3588.17,3.23868,539.967,10.6746,77.1184,118.955
16,130.94799999999998,3855.25,4.78735,671.6210000000001,19.3126,148.40200000000002,200.387
32,249.30200000000002,4107.11,11.4919,887.63,47.6089,284.073,350.723
64,506.142,4491.97,33.1466,1338.34,102.741,569.851,618.776
128,998.0360000000001,5566.76,81.4047,2360.26,213.455,1146.0,1206.61
256,1936.76,7789.28,216.07299999999998,4366.62,424.20099999999996,2321.73,2340.82
512,3965.27,12135.0,492.504,8272.63,864.6569999999999,5236.12,5018.56
1024,8123.22,21159.1,1045.45,16860.8,1745.09,11000.2,10487.5
2048,16518.6,39348.7,2134.55,36623.2,3497.18,23220.6,21425.6
4096,34010.8,77437.9,4294.4,85170.5,7176.71,49143.2,44571.5
8192,75752.7,149876.0,8683.36,147669.0,14533.5,100968.0,90232.6
16384,144059.0,295717.0,17315.7,278775.0,31643.2,207277.0,185418.0
